,Object Number,Is Highlight,Is Public Domain,Object ID,Department,Title,Culture,Artist Display Name,Artist Display Bio,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,Country,Classification,Link Resource,Metadata Date,Repository
219,67.94,False,True,385,American Decorative Arts,Tumbler,French,Denis Colombier,active 1776–after 1806,Denis Colombier,French,1776,1806,1789,1789,1789,Silver,"Overall: 2 5/8 in. (6.7 cm); 2 oz. 7 dwt. (72.8 g)
Lip: Diam. 2 7/8 in. (7.3 cm)
Base: Diam. 2 in. (5.1 cm)","Purchase, Mr. and Mrs. Marshall P. Blankarn Gift, 1967",Made in,France,Silver,http://www.metmuseum.org/art/collection/search/385,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
220,"34.100.30a, b",False,True,944,American Decorative Arts,Box,American,Christian Selzer,active ca. 1780–1800,Christian Selzer,American,1777,1800,1775–1820,1775,1820,Poplar,10 1/4 x 28 1/2 x 14 1/4 in. (26 x 72.4 x 36.2 cm),"Gift of Mrs. Robert W. de Forest, 1933",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/944,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
221,46.33.16,False,True,1330,American Decorative Arts,Candlestick,American,William Thomson,1777–1833,William Thomson,American,1777,1833,ca. 1825,1822,1825,Silver,"Overall: 10 15/16 in. (27.8 cm); 27 oz. 12 dwt. (844.3 g)
Foot: Diam. 6 11/16 in. (17 cm)
Body (without bobeche): 10 7/16 in. (26.5 cm); 24 oz. 13 dwt. (766.6 g)
Bobeche: 2 x 2 3/4 in. (5.1 x 7 cm); 2 oz. 10 dwt. (77.7 g)","Gift of Frederic Ashton de Peyster, 1946",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1330,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
222,46.33.15,False,True,1329,American Decorative Arts,Candlestick,American,William Thomson,1777–1833,William Thomson,American,1777,1833,ca. 1825,1822,1825,Silver,"Overall: H. 11 1/16 in. (28.1 cm); 27 oz. 12 dwt. (859.1 g)
Foot: Diam. 6 11/16 in. (17 cm)
Body (without bobeche): H. 10 7/16 in. (26.5 cm); 25 oz. 1 dwt. (779.8 g)
Bobeche: 2 x 2 3/4 in. (5.1 x 7 cm); 2 oz. 11 dwt. (79.3 g)","Gift of Frederic Ashton de Peyster, 1946",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1329,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
223,10.125.342,False,True,354,American Decorative Arts,Basin stand,American,William Hook,1777–1867,William Hook,American,1777,1867,1810–15,1810,1815,"Mahogany, mahogany veneer with white pine",41 1/2 x 22 x 16 in. (105.4 x 55.9 x 40.6 cm),"Gift of Mrs. Russell Sage, 1909",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/354,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
224,66.17,False,True,1444,American Decorative Arts,Card Table,American,Charles-Honoré Lannuier,France 1779–1819 New York,Charles-Honoré Lannuier,American,1779,1819,1810–19,1810,1819,"Bird's-eye maple, rosewood, satinwood, mahogany, brass; secondary wood: pine",31 x 35 11/16 x 17 3/4 in. (78.7 x 90.6 x 45.1 cm),"Funds from various donors, 1966",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1444,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
225,31.44.2,False,True,233,American Decorative Arts,Armchair,American,Charles-Honoré Lannuier,France 1779–1819 New York,Charles-Honoré Lannuier,American,1779,1819,ca. 1810,1807,1813,Mahogany,32 7/8 x 22 1/8 x 19 in. (83.5 x 56.2 x 48.3 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/233,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
226,46.24,False,True,1442,American Decorative Arts,Card table,American,Charles-Honoré Lannuier,France 1779–1819 New York,Charles-Honoré Lannuier,American,1779,1819,1805–12,1805,1812,"Mahogany, mahogany veneer, gilded brass with
white pine, mahogany",30 x 35 1/4 x 17 1/2 in. (76.2 x 89.5 x 44.5 cm),"Rogers Fund, 1946",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1442,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
227,20.109.11,False,True,681,American Decorative Arts,Bowl,American,Hervey Brooks,1779–1873,Hervey Brooks,American,1779,1873,1803–67,1803,1867,Earthenware; Redware with slip decoration,H. 3 5/8 in. (9.2 cm); Diam. 12 7/8 in. (32.7 cm),"Gift of Robert Macauley Jackson, 1920",Probably made in,United States,Ceramics,http://www.metmuseum.org/art/collection/search/681,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
228,37.37.3,False,True,317,American Decorative Arts,Banjo Clock,American,Aaron Willard Jr.,1783–1864,Aaron Willard Jr.,American,1783,1864,1815–25,1815,1825,"Mahogany, gilt gesso, eglomise tablets, white pine, tulip poplar",H. 43 in. (109.2 cm),"Bequest of William B. Whitney, 1937",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/317,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
229,30.120.15,False,True,316,American Decorative Arts,Banjo Clock,American,Aaron Willard Jr.,1783–1864,Aaron Willard Jr.,American,1783,1864,ca. 1825,1822,1825,"Mahogany, gilt gesso, eglomise tablets, white pine, tulip poplar",34 1/2 x 10 in. (87.6 x 25.4 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/316,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
230,83.2.222,False,True,485,American Decorative Arts,Portrait of Benjamin Franklin,American,H. Sanford,1783–1822,H. Sanford,French,1783,1822,1776–1883,1776,1883,Panel,5 3/8 x 4 1/4 in. (13.7 x 10.8 cm),"Gift of William H. Huntington, 1883",Made in,France,Paintings,http://www.metmuseum.org/art/collection/search/485,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
231,"43.162.7a, b",False,True,285,American Decorative Arts,Baby's Bottle,American,Thomas Danforth Boardman,1784–1873,Thomas Danforth Boardman,American,1784,1873,1810–50,1810,1850,Pewter,H. 6 1/2 in. (16.5 cm),"Gift of Joseph France, 1943",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/285,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
232,41.34.26,False,True,396,American Decorative Arts,Beaker,American,Ashbil Griswold,1784–1853,Ashbil Griswold,American,1784,1853,1807–35,1807,1835,Pewter,H. 3 in. (7.6 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1941",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/396,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
233,41.34.25,False,True,382,American Decorative Arts,Beaker,American,Thomas Danforth Boardman|Sherman Boardman,1784–1873|1787–1861,Thomas Danforth Boardman|Sherman Boardman,American,1784,1873,1822–24,1822,1824,Pewter,H. 5 1/8 in. (13 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1941",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/382,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
234,40.184.19,False,True,381,American Decorative Arts,Beaker,American,Thomas Danforth Boardman|Sherman Boardman,1784–1873|1787–1861,Thomas Danforth Boardman|Sherman Boardman,American,1784,1873,1810–50,1810,1850,Pewter,H. 5 1/8 in. (13 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/381,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
235,40.184.18,False,True,380,American Decorative Arts,Beaker,American,Thomas Danforth Boardman|Sherman Boardman,1784–1873|1787–1861,Thomas Danforth Boardman|Sherman Boardman,American,1784,1873,1810–50,1810,1850,Pewter,H. 5 1/8 in. (13 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/380,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
236,1980.264.5,False,False,2,American Decorative Arts,Ten-dollar Liberty Head Coin,American,Christian Gobrecht,1785–1844,Christian Gobrecht,Mexican,1785,1844,1901,1901,1901,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1980",Made in,Mexico,Metal,http://www.metmuseum.org/art/collection/search/2,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
237,1979.486.2,False,False,11,American Decorative Arts,Two-and-a-half-dollar Liberty Head Coin,American,Christian Gobrecht,1785–1844,Christian Gobrecht,Mexican,1785,1844,1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Made in,Mexico,Metal,http://www.metmuseum.org/art/collection/search/11,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
238,1979.486.5,False,False,14,American Decorative Arts,Five-dollar Liberty Head Coin,American,Christian Gobrecht,1785–1844,Christian Gobrecht,Mexican,1785,1844,1907,1907,1907,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Made in,Mexico,Metal,http://www.metmuseum.org/art/collection/search/14,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
239,43.149.2,False,True,1766,American Decorative Arts,Side Chair,American,Samuel Dunlap,active ca. 1789–1815,Samuel Dunlap,American,1786,1815,ca. 1770–90,1767,1790,Cherry,44 7/8 x 22 x 17 in. (114 x 55.9 x 43.2 cm),"Gift of Mrs. J. Insley Blair, 1943",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1766,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
240,62.89.20,False,True,1926,American Decorative Arts,Chalice,American,Israel Trask,1786–1867,Israel Trask,American,1786,1867,ca. 1813–56,1810,1856,Pewter,H. 5 3/4 in. (14.6 cm),"Gift of Mrs. Stephen S. FitzGerald, 1962",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/1926,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
241,62.89.21,False,True,1927,American Decorative Arts,Chalice,American,Israel Trask,1786–1867,Israel Trask,American,1786,1867,ca. 1813–56,1810,1856,Pewter,H. 5 3/4 in. (14.6 cm),"Gift of Mrs. Stephen S. FitzGerald, 1962",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/1927,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
242,43.162.24,False,True,337,American Decorative Arts,Basin,American,Thomas S. Derby,ca. 1786–1852,Thomas S. Derby,American,1786,1852,ca. 1822–50,1819,1850,Pewter,H. 1 5/8 in. (4.1 cm); Diam. 6 1/2 in. (16.5 cm),"Gift of Joseph France, 1943",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/337,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
243,47.86.1,False,True,1673,American Decorative Arts,Side Chair,American,Thomas Howard Jr.,active ca. 1790–1833,Thomas Howard Jr.,American,1787,1833,ca. 1795,1792,1795,"Mahogany, maple, birch, satinwood",37 x 22 in. (94 x 55.9 cm),"Rogers Fund, 1947",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1673,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
244,30.120.89,False,True,114,American Decorative Arts,Andiron,American,Revere and Son,ca. 1787–?,Revere and Son,American,1758,1787,1787–1810,1787,1810,"Brass, iron",24 1/2 x 20 3/8 in. (62.2 x 51.8 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/114,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
245,30.120.90,False,True,115,American Decorative Arts,Andiron,American,Revere and Son,ca. 1787–?,Revere and Son,American,1758,1787,1787–1810,1787,1810,"Brass, iron",24 1/2 x 20 3/8 in. (62.2 x 51.8 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/115,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
246,43.132.3,False,False,1453,American Decorative Arts,Card Table,American,Anthony G. Quervelle,1789–1856,Anthony G. Quervelle,American,1789,1856,1825–30,1825,1830,"Mahogany, rosewood",28 1/4 x 35 5/8 in. (71.8 x 90.5 cm),"Rogers Fund, 1943",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1453,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
247,43.132.2,False,True,1452,American Decorative Arts,Card Table,American,Anthony G. Quervelle,1789–1856,Anthony G. Quervelle,American,1789,1856,1825–30,1825,1830,"Mahogany, rosewood",28 1/4 x 35 5/8 in. (71.8 x 90.5 cm),"Rogers Fund, 1943",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1452,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
248,68.96,False,True,1530,American Decorative Arts,Center Table,American,Anthony G. Quervelle,1789–1856,Anthony G. Quervelle,American,1789,1856,ca. 1830,1827,1830,"Mahogany, intarsia marble, brass",H. 29 13/16 in. (75.7 cm); Diam. 34 1/2 in. (87.6 cm),"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1530,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
249,1977.215,False,True,1688,American Decorative Arts,Side Chair,American,John Seymour|Thomas Seymour,active ca. 1794–1816|1771–1848,John Seymour|Thomas Seymour,American,1771,1848,1795–1803,1795,1803,"Mahogany, tulip poplar",Dimensions unavailable,"Purchase, Mrs. Paul Moore Gift, by exchange, 1977",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1688,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
250,40.184.21,False,False,410,American Decorative Arts,Beaker,American,Oliver Trask,1792–1847,Oliver Trask,American,1792,1847,ca. 1832–39,1829,1839,Pewter,H. 5 1/4 in. (13.3 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/410,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
251,40.184.20,False,True,409,American Decorative Arts,Beaker,American,Oliver Trask,1792–1847,Oliver Trask,American,1792,1847,ca. 1832–39,1829,1839,Pewter,H. 5 1/4 in. (13.3 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/409,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
252,1973.283,False,True,2057,American Decorative Arts,Chocolate Pot,American,Stephen Richard,ca. 1796–1843,Stephen Richard,American,1793,1843,ca. 1825,1822,1825,Silver,"Overall: 9 3/8 x 8 1/4 in. (23.8 x 21 cm); 21 oz. 9 dwt. (666.6 g)
At spout: H. 4 13/16 in. (12.2 cm)","Funds from various donors, 1973",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/2057,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
253,66.10.12,False,True,838,American Decorative Arts,Bowl,"American, Shaker",Isaac N. Youngs,1793–1865,Isaac N. Youngs,American,1793,1865,1810–65,1810,1865,Wood; Poplar,3 1/4 x 15 1/8 x 8 5/8 in. (8.3 x 38.4 x 21.9 cm),"Friends of the American Wing Fund, 1966",Made in,United States,Natural Substances,http://www.metmuseum.org/art/collection/search/838,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
254,1979.486.1,False,False,1,American Decorative Arts,One-dollar Liberty Head Coin,American,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",James Barton Longacre,American,1794,1869,1853,1853,1853,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Made in,Mexico,Metal,http://www.metmuseum.org/art/collection/search/1,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
255,1979.486.7,False,False,12,American Decorative Arts,Twenty-dollar Liberty Head Coin,American,James Barton Longacre,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",James Barton Longacre,American,1794,1869,1876,1876,1876,Gold,Dimensions unavailable,"Gift of Heinz L. Stoppelmann, 1979",Made in,Mexico,Metal,http://www.metmuseum.org/art/collection/search/12,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
256,64.291.1,False,True,122,American Decorative Arts,Andiron,American,Richard Wittingham,active before 1795–ca. 1818,Richard Wittingham,American,1794,1818,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/122,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
257,64.291.2,False,True,123,American Decorative Arts,Andiron,American,Richard Wittingham,active before 1795–ca. 1818,Richard Wittingham,American,1794,1818,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/123,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
258,83.2.192,False,True,478,American Decorative Arts,Bus,American,Pierre Joseph Chardigny,1794–1866,Pierre Joseph Chardigny,French,1794,1866,1851,1851,1851,Waxed plaster,H. 5 in. (12.7 cm),"Gift of William H. Huntington, 1883",Made in,France,Ceramics,http://www.metmuseum.org/art/collection/search/478,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
259,66.130a–e,False,True,970,American Decorative Arts,Brandy Warmer,American,Gerardus Boyce,1795/96–1880,Gerardus Boyce,American,1795,1880,1840–57,1840,1857,Silver,"Overall: 5 3/8 x 3 in. (13.7 x 7.6 cm); 16 oz. 5 dwt. (505.2 g)
Base: Diam. 2 7/8 in. (2 7/8 in.)","Purchase, Rogers Fund, 1966",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/970,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
260,1970.201.2,False,True,1770,American Decorative Arts,Side Chair,American,Lambert Hitchcock,1795–1852,Lambert Hitchcock,American,1795,1852,1825–28,1825,1828,Wood,34 3/4 x 17 7/8 x 19 in. (88.3 x 45.4 x 48.3 cm),"Gift of James Robert Sands and Laurance M. Land, in memory of Margaret Queen Sands, 1970",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1770,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
261,1970.201.1,False,True,1769,American Decorative Arts,Side Chair,American,Lambert Hitchcock,1795–1852,Lambert Hitchcock,American,1795,1852,1825–28,1825,1828,Wood,34 1/2 x 17 7/8 x 19 in. (87.6 x 45.4 x 48.3 cm),"Gift of James Robert Sands and Laurance M. Land, in memory of Margaret Queen Sands, 1970",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1769,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
262,68.130.9,False,True,506,American Decorative Arts,Berry Spoon,American,J. and W. Moir,active ca. 1845,J. and W. Moir,American,1795,1895,1800–1900,1800,1900,Silver,8 x 2 1/2 in. (20.3 x 6.4 cm),"Gift of Mrs. Arthur C. Steinbach, 1968",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/506,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
263,65.167.9,False,True,1817,American Decorative Arts,Side Chair,American,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37,John Finlay|Hugh Finlay,American,1797,1837,1815–20,1815,1820,Maple,34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1817,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
264,65.167.8,False,True,1816,American Decorative Arts,Side Chair,American,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37,John Finlay|Hugh Finlay,American,1797,1837,1815–20,1815,1820,Maple,34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1816,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
265,65.167.6,True,True,1815,American Decorative Arts,Side Chair,American,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37,John Finlay|Hugh Finlay,American,1797,1837,1815–20,1815,1820,"Maple, painted and gilded, cane",34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1815,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
266,1970.189,False,True,1439,American Decorative Arts,Card Table,American,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37,John Finlay|Hugh Finlay,American,1797,1837,1800–1810,1800,1810,"Maple, oak, tulip",28 7/8 x 36 x 17 1/2 in. (73.3 x 91.4 x 44.5 cm),"Purchase, Mrs. Russell Sage Gift, 1970",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1439,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
267,65.167.5,False,True,1814,American Decorative Arts,Side Chair,American,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37,John Finlay|Hugh Finlay,American,1797,1837,1815–20,1815,1820,Maple,34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1814,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
268,1985.349.1,False,True,112,American Decorative Arts,Andiron,American,John Molineux,active ca. 1800–1820,John Molineux,American,1797,1820,ca. 1810,1807,1810,"Brass, iron",H. 17 in. (43.2 cm),"Gift of The Wunsch Americana Foundation, Inc., 1985",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/112,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
269,40.184.11,False,True,812,American Decorative Arts,Bowl,American,Robert Palethorp Jr.,1797–1822,Robert Palethorp Jr.,American,1797,1822,1817–21,1817,1821,Pewter,2 1/2 x 5 3/8 x 5 3/8 in. (6.4 x 13.7 x 13.7 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/812,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
270,1985.349.2,False,True,113,American Decorative Arts,Andiron,American,John Molineux,active ca. 1800–1820,John Molineux,American,1797,1820,ca. 1810,1807,1810,"Brass, iron",H. 17 in. (43.2 cm),"Gift of The Wunsch Americana Foundation, Inc., 1985",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/113,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
271,1974.102.1,False,True,1767,American Decorative Arts,Side Chair,American,Hugh Finlay|John Finlay,active ca. 1800–37|active ca. 1799–1833,Hugh Finlay|John Finlay,American,1797,1837,1800–1810,1800,1810,"Mahogany, maple, tulip poplar, cane",Dimensions unavailable,"Purchase, Mrs. Paul Moore Gift, by exchange, 1974",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1767,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
272,1974.102.2,False,True,1768,American Decorative Arts,Side Chair,American,Hugh Finlay|John Finlay,active ca. 1800–37|active ca. 1799–1833,Hugh Finlay|John Finlay,American,1797,1837,1800–1810,1800,1810,"Mahogany, maple, tulip poplar, cane",Dimensions unavailable,"Purchase, Mrs. Paul Moore Gift, by exchange, 1974",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1768,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
273,43.162.6,False,True,383,American Decorative Arts,Beaker,American,Timothy Boardman,1798–1825,Timothy Boardman,American,1798,1825,1822–25,1822,1825,Pewter,H. 5 1/2 in. (14 cm),"Gift of Joseph France, 1943",Possibly made in|Possibly made in,United States|United States,Metal,http://www.metmuseum.org/art/collection/search/383,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
274,1977.255,False,True,1691,American Decorative Arts,Side Chair,American,American Chair Company|Thomas E. Warren,active ca. 1849,American Chair Company|Thomas E. Warren,American,1799,1899,ca. 1849,1846,1849,"Cast iron, wood",31 1/8 x 17 3/4 in. (79.1 x 45.1 cm),"Gift of Elinor Merrell, 1977",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1691,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
275,1970.31,False,True,2056,American Decorative Arts,Covered Ewer,American,Frederick Marquand,1799–1882,Frederick Marquand,American,1799,1882,ca. 1827,1824,1827,Silver,12 5/16 x 10 1/4 x 6 3/4 in. (31.3 x 26 x 17.1 cm); 52 oz. (1616.8 g),"Funds from various donors, 1970",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/2056,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
276,45.26.1,False,True,1789,American Decorative Arts,Side Chair,American,Slover and Taylor,active ca. 1802–4,Slover and Taylor,American,1799,1804,ca. 1795,1792,1795,"Mahogany, ash, cherry",36 x 22 1/2 x 18 in. (91.4 x 57.2 x 45.7 cm),"Rogers Fund, 1945",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1789,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
277,45.26.2,False,True,1790,American Decorative Arts,Side Chair,American,Slover and Taylor,active ca. 1802–4,Slover and Taylor,American,1799,1804,ca. 1795,1792,1795,"Mahogany, ash, cherry",36 x 22 1/2 x 18 in. (91.4 x 57.2 x 45.7 cm),"Rogers Fund, 1945",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/1790,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
278,69.262.3,False,True,265,American Decorative Arts,Armchair,American or French,Auguste-Émile Rinquet-Leprince,1801–1886,Auguste-Émile Rinquet-Leprince,French,1801,1886,ca. 1843,1838,1848,"Applewood or pearwood, ebonized walnut, beech, and gilt bronze mounts",38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm),"Gift of Mrs. Douglas Williams, 1969",Possibly made in|Possibly made in,United States|France,Furniture,http://www.metmuseum.org/art/collection/search/265,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
279,69.262.8,False,True,1837,American Decorative Arts,Side Chair,American or French,Auguste-Émile Rinquet-Leprince,1801–1886,Auguste-Émile Rinquet-Leprince,French,1801,1886,ca. 1843,1838,1848,"Applewood or pearwood, ebonized walnut, beech",38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm),"Gift of Mrs. Douglas Williams, 1969",Possibly made in|Possibly made in,United States|France,Furniture,http://www.metmuseum.org/art/collection/search/1837,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
